"date","city","region","country","max_temp_c","min_temp_c","avg_temp_c","uv","sunrise","sunset","total_precip_mm","avg_vis_km","avg_humidity","max_wind_kph","daily_will_it_rain","daily_chance_of_rain","condition_text","condition_icon","condition_code"
2023-08-08,Trondheim,Sor-Trondelag,Norway,20.4,11.4,15.6,5.0,"04:52 AM","09:54 PM",8.0,9.2,87,23.4,1,100,Moderate rain at times,//cdn.weatherapi.com/weather/64x64/day/299.png,"1186"
2023-08-09,Trondheim,Sor-Trondelag,Norway,17.8,12.3,14.9,4.0,"04:55 AM","09:51 PM",1.1,10.0,63,27.0,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063"
2023-08-10,Trondheim,Sor-Trondelag,Norway,15.7,10.6,12.8,4.0,"04:58 AM","09:48 PM",1.95,9.0,84,11.6,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063"
2023-08-11,Trondheim,Sor-Trondelag,Norway,15.4,10.0,12.3,4.0,"05:01 AM","09:44 PM",2.75,6.9,87,7.6,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063"
2023-08-12,Trondheim,Sor-Trondelag,Norway,16.9,10.4,13.6,4.0,"05:04 AM","09:41 PM",5.8,8.5,86,7.9,1,100,Moderate rain at times,//cdn.weatherapi.com/weather/64x64/day/299.png,"1186"
2023-08-13,Trondheim,Sor-Trondelag,Norway,21.3,10.5,15.8,5.0,"05:07 AM","09:38 PM",4.3,9.8,79,8.3,1,100,Heavy rain at times,//cdn.weatherapi.com/weather/64x64/day/305.png,"1192"
2023-08-14,Trondheim,Sor-Trondelag,Norway,18.3,10.8,14.3,4.0,"05:10 AM","09:34 PM",1.3,8.3,89,6.5,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063"
2023-08-15,Trondheim,Sor-Trondelag,Norway,18.3,11.6,15.3,4.0,"05:13 AM","09:31 PM",4.8,9.3,89,5.8,1,100,Heavy rain at times,//cdn.weatherapi.com/weather/64x64/day/305.png,"1192"
2023-08-16,Trondheim,Sor-Trondelag,Norway,15.0,11.4,13.4,4.0,"05:16 AM","09:28 PM",20.55,8.4,95,15.1,1,100,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,"1243"
2023-08-17,Trondheim,Sor-Trondelag,Norway,17.7,9.3,13.7,5.0,"05:19 AM","09:24 PM",0.1,8.0,77,7.2,1,100,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,"1003"
2023-08-18,Trondheim,Sor-Trondelag,Norway,23.6,8.8,16.6,6.0,"05:22 AM","09:21 PM",0.0,10.0,63,11.2,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,"1000"
2023-08-19,Trondheim,Sor-Trondelag,Norway,23.0,12.0,17.8,6.0,"05:25 AM","09:17 PM",0.0,10.0,63,18.4,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,"1000"
2023-08-20,Trondheim,Sor-Trondelag,Norway,18.0,13.1,16.0,4.0,"05:28 AM","09:14 PM",5.8,9.3,80,10.8,1,100,Heavy rain at times,//cdn.weatherapi.com/weather/64x64/day/305.png,"1192"
2023-08-21,Trondheim,Sor-Trondelag,Norway,14.8,12.3,13.5,3.0,"05:31 AM","09:11 PM",16.75,4.9,99,8.3,1,100,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,"1243"
2023-08-22,Trondheim,Sor-Trondelag,Norway,18.1,11.7,14.5,4.0,"05:34 AM","09:07 PM",4.2,7.7,81,7.6,1,100,Moderate rain at times,//cdn.weatherapi.com/weather/64x64/day/299.png,"1186"
2023-08-23,Trondheim,Sor-Trondelag,Norway,19.0,10.2,14.5,5.0,"05:37 AM","09:04 PM",0.1,8.7,78,8.3,1,100,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,"1003"
